Time (microseconds),i_alpha,i_beta
50800.00,-1985.7275390625,-4588.7783203125
50900.00,-2031.51513671875,-4568.69189453125
51000.00,-2077.099609375,-4548.1484375
51100.00,-2122.4765625,-4527.150390625
51200.00,-2167.64111328125,-4505.69970703125
51300.00,-2212.5888671875,-4483.79833984375
51400.00,-2257.3154296875,-4461.44873046875
51500.00,-2301.81640625,-4438.65283203125
51600.00,-2346.0869140625,-4415.4130859375
51700.00,-2390.123046875,-4391.73193359375
51800.00,-2433.92016601563,-4367.61181640625
51900.00,-2477.47387695313,-4343.0546875
52000.00,-2520.77978515625,-4318.06298828125
52100.00,-2563.83349609375,-4292.6396484375
52200.00,-2606.630859375,-4266.787109375
52300.00,-2649.16772460938,-4240.5078125
52400.00,-2691.43969726563,-4213.80517578125
52500.00,-2733.4423828125,-4186.68017578125
52600.00,-2775.171875,-4159.13720703125
52700.00,-2816.62353515625,-4131.177734375
52800.00,-2857.7939453125,-4102.8056640625
52900.00,-2898.67822265625,-4074.02294921875
53000.00,-2939.27294921875,-4044.8330078125
53100.00,-2979.57348632813,-4015.23852539063
53200.00,-3019.576171875,-3985.24243164063
53300.00,-3059.27709960938,-3954.84814453125
53400.00,-3098.671875,-3924.05810546875
53500.00,-3137.7568359375,-3892.87573242188
53600.00,-3176.52807617188,-3861.30419921875
53700.00,-3214.9814453125,-3829.34643554688
53800.00,-3253.11352539063,-3797.00537109375
53900.00,-3290.92041015625,-3764.28540039063
54000.00,-3328.39794921875,-3731.18823242188
54100.00,-3365.54272460938,-3697.71850585938
54200.00,-3402.35107421875,-3663.87890625
54300.00,-3438.81909179688,-3629.67260742188
54400.00,-3474.94311523438,-3595.10375976563
54500.00,-3510.7197265625,-3560.17504882813
54600.00,-3546.1455078125,-3524.89038085938
54700.00,-3581.21630859375,-3489.25317382813
54800.00,-3615.92919921875,-3453.26733398438
54900.00,-3650.28051757813,-3416.93579101563
55000.00,-3684.26684570313,-3380.26293945313
55100.00,-3717.88452148438,-3343.25219726563
55200.00,-3751.13061523438,-3305.90649414063
55300.00,-3784.00146484375,-3268.23071289063
55400.00,-3816.49487304688,-3230.22705078125
55500.00,-3848.6064453125,-3191.900390625
55600.00,-3880.33325195313,-3153.25415039063
55700.00,-3911.671875,-3114.29321289063
55800.00,-3942.61962890625,-3075.0205078125
55900.00,-3973.1728515625,-3035.4404296875
56000.00,-4003.32861328125,-2995.55639648438
56100.00,-4033.08422851563,-2955.373046875
56200.00,-4062.4365234375,-2914.89428710938
56300.00,-4091.38256835938,-2874.1240234375
56400.00,-4119.91943359375,-2833.06616210938
56500.00,-4148.04443359375,-2791.72534179688
56600.00,-4175.75439453125,-2750.10473632813
56700.00,-4203.046875,-2708.20971679688
56800.00,-4229.9189453125,-2666.04345703125
56900.00,-4256.36767578125,-2623.6103515625
57000.00,-4282.39111328125,-2580.91528320313
57100.00,-4307.986328125,-2537.96215820313
57200.00,-4333.15087890625,-2494.75537109375
57300.00,-4357.8818359375,-2451.29858398438
57400.00,-4382.17724609375,-2407.59716796875
57500.00,-4406.0341796875,-2363.65454101563
57600.00,-4429.45068359375,-2319.47583007813
57700.00,-4452.423828125,-2275.06494140625
57800.00,-4474.9521484375,-2230.4267578125
57900.00,-4497.03271484375,-2185.5654296875
58000.00,-4518.66357421875,-2140.48559570313
58100.00,-4539.8427734375,-2095.19165039063
58200.00,-4560.56787109375,-2049.68823242188
58300.00,-4580.8369140625,-2003.97961425781
58400.00,-4600.6474609375,-1958.07067871094
58500.00,-4619.99853515625,-1911.96618652344
58600.00,-4638.88720703125,-1865.67028808594
58700.00,-4657.31201171875,-1819.18786621094
58800.00,-4675.27099609375,-1772.52331542969
58900.00,-4692.7626953125,-1725.68188476563
59000.00,-4709.78515625,-1678.66760253906
59100.00,-4726.33642578125,-1631.48559570313
59200.00,-4742.4150390625,-1584.14025878906
59300.00,-4758.01953125,-1536.63671875
59400.00,-4773.14794921875,-1488.97937011719
59500.00,-4787.79931640625,-1441.17321777344
59600.00,-4801.9716796875,-1393.22290039063
59700.00,-4815.66357421875,-1345.13293457031
59800.00,-4828.87451171875,-1296.90893554688
59900.00,-4841.60205078125,-1248.55505371094
60000.00,-4853.845703125,-1200.07641601563
60100.00,-4865.603515625,-1151.47729492188
60200.00,-4876.87548828125,-1102.763671875
60300.00,-4887.6591796875,-1053.93933105469
60400.00,-4897.9541015625,-1005.009765625
60500.00,-4907.75927734375,-955.979553222656
60600.00,-4917.07373046875,-906.853881835938
60700.00,-4925.896484375,-857.637451171875
60800.00,-4934.2265625,-808.335327148438
60900.00,-4942.0634765625,-758.952453613281
61000.00,-4949.40576171875,-709.493408203125
61100.00,-4956.25341796875,-659.963623046875
61200.00,-4962.60546875,-610.368041992188
61300.00,-4968.4609375,-560.710998535156
61400.00,-4973.8193359375,-510.997833251953
61500.00,-4978.6806640625,-461.233795166016
61600.00,-4983.04443359375,-411.423797607422
61700.00,-4986.9091796875,-361.572357177734
61800.00,-4990.27587890625,-311.685119628906
61900.00,-4993.14306640625,-261.766326904297
62000.00,-4995.51123046875,-211.821578979492
62100.00,-4997.37939453125,-161.855407714844
62200.00,-4998.748046875,-111.873168945313
62300.00,-4999.6171875,-61.879940032959
62400.00,-4999.98583984375,-11.8802223205566
62500.00,-4999.8544921875,38.1206207275391
62600.00,-4999.2236328125,88.1172409057617
62700.00,-4998.09228515625,138.105682373047
62800.00,-4996.46142578125,188.079742431641
62900.00,-4994.33056640625,238.03547668457
63000.00,-4991.70068359375,287.966979980469
63100.00,-4988.5712890625,337.869995117188
63200.00,-4984.943359375,387.738891601563
63300.00,-4980.81640625,437.569488525391
63400.00,-4976.19189453125,487.356079101563
63500.00,-4971.0693359375,537.093872070313
63600.00,-4965.44970703125,586.778137207031
63700.00,-4959.33349609375,636.403747558594
63800.00,-4952.7216796875,685.965393066406
63900.00,-4945.6142578125,735.458557128906
64000.00,-4938.01220703125,784.878356933594
64100.00,-4929.91650390625,834.219543457031
64200.00,-4921.32763671875,883.477294921875
64300.00,-4912.2470703125,932.646484375
64400.00,-4902.6748046875,981.72265625
64500.00,-4892.6123046875,1030.70068359375
64600.00,-4882.060546875,1079.57568359375
64700.00,-4871.0205078125,1128.34252929688
64800.00,-4859.49365234375,1176.99670410156
64900.00,-4847.48046875,1225.53308105469
